web-scraper-order,web-scraper-start-url,name,price,features,deals,reviews
"1534403879-29","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$42","Service","","8.3Very good (222 reviews)"
"1534403879-69","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$10","","More deals from ‎$10","8.4Very good (254 reviews)"
"1534403879-14","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$192","Service","","8.1Very good (1179 reviews)"
"1534403879-40","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$139","Free WiFi","","8.0Very good (650 reviews)"
"1534403879-32","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$113","Free WiFi","","8.4Very good (1259 reviews)"
"1534403879-65","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$42","","More deals from ‎$42","8.3Very good (222 reviews)"
"1534403879-50","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$65","Free WiFi","","7.7Good (85 reviews)"
"1534403879-63","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$32","","More deals from ‎$32","8.0Very good (171 reviews)"
"1534403879-37","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$10","Service","","8.4Very good (254 reviews)"
"1534403879-2","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","The Golden Crown","$189","","","8.5Excellent (431 reviews)"
